color,shape,flag,i,u,v,w,x
purple,triangle,0,3016,0.3445805348101557,0.9314586827288921,0.7303062345971375,6.286891127462662
red,square,0,3050,0.6559603758582659,0.8146680458330501,0.5902924985221454,5.82992604692209
red,circle,1,3131,0.585144230439763,0.6126667717785355,0.3169586786449619,4.184061048733821
yellow,circle,1,3138,0.21946692559859127,0.5778782092837894,0.6243751940834331,4.878526902029357
yellow,circle,1,3210,0.9848580578039592,0.8703332275688385,0.6196888245699355,3.733988283596638
red,triangle,1,3247,0.489957093971505,0.3478765534442614,0.4923961471690822,5.77651025721577
red,triangle,0,3293,0.13416793395996696,0.35313428818060877,0.503251673831712,4.663827900601466
green,triangle,1,3322,0.14261008249079687,0.749302805217999,0.12658931011976782,5.415746307714631
red,square,0,3344,0.8465455890449235,0.9267425085703102,0.576114475147851,4.414752318165809
blue,triangle,1,3378,0.04682538469656261,0.08768189741821031,0.5999310365332388,4.36169952189602
red,circle,1,3461,0.7736749647187496,0.7843041194779217,0.3222390448185294,4.918714674895596
blue,circle,0,3519,0.8715379458478961,0.20256829168055102,0.10985276936169859,7.997598940922333
red,triangle,0,3547,0.98329965475008,0.22471614331987888,0.5067594140832291,6.322260097816005
red,square,0,3557,0.17792705971938538,0.8342704569425529,0.5496181660392127,4.489594163882984
red,square,1,3609,0.41366768077123217,0.7926395050427005,0.5500236156239641,6.072243219753511
green,circle,0,3663,0.8796970347713795,0.5095418401519376,0.5036523462569609,3.732306962687
red,circle,0,3697,0.4656141644806484,0.43943619960025365,0.3389349788256644,4.6091252205967415
red,square,0,3719,0.7686293918141773,0.3860243778849791,0.5563945710051195,7.100899795404449
blue,square,0,3841,0.6142167398249276,0.5058741300020686,0.35440149163176193,4.9375675393287795
red,square,0,3847,0.5762503050626411,0.9449347972337795,0.5396454717504899,4.535027823576054
yellow,square,1,3880,0.2326699375087975,0.41062255056145136,0.4582838878078877,6.495550613116688
red,square,0,3898,0.4794321660481753,0.44957239137842164,0.534131183348918,4.554982584675483
green,square,0,3996,0.42442739328635637,0.8964958501280098,0.47303008264530383,6.156675863839864
yellow,triangle,1,4023,0.8706684482737265,0.8573693836211311,0.46816853382829726,4.584079169332856
red,triangle,1,4040,0.8577713918123153,0.297771559336396,0.5199360491732843,5.164415621374987
red,circle,0,4051,0.17018413008657984,0.23320478598130245,0.35152048053844065,5.46076150321937
red,circle,0,4088,0.28321334450458735,0.3237908657862255,0.35109142420998724,3.2464133941912263
red,circle,0,4092,0.02059623878479,0.04460593274894216,0.3541282614135311,3.554009715185525
yellow,circle,1,4170,0.9120488812571834,0.6857068784645892,0.6173957199588831,5.510289113034133
red,square,0,4241,0.18649722139766356,0.6452719235869846,0.5410438287513045,5.4189301744621545
red,triangle,0,4307,0.02316026733649934,0.32759419799888834,0.5209360429919869,8.050259613054594
red,triangle,1,4468,0.0431000918147989,0.9368515438540571,0.52117938032689,4.768735289587635
purple,circle,0,4473,0.8677645835678461,0.7370785187241339,0.4708243010989557,4.2195244701460615
red,triangle,0,4489,0.3907041450033255,0.808274357235241,0.5266690643733455,6.7868612382218485
yellow,square,1,4588,0.8547010348386344,0.7356782810796262,0.4531511689924275,5.774541777078352
red,triangle,0,4643,0.4348424420850825,0.25987383842479017,0.5266497212740388,4.759205173519602
red,square,0,4703,0.8935268981554093,0.23752077743261923,0.5303101957654777,5.022371854001634
blue,square,0,4825,0.03995102094087877,0.8687150837087656,0.37503067844024807,5.538510059726689
red,triangle,0,4841,0.7358954709070943,0.45034537546711884,0.5250268552773686,7.418808360536765
blue,square,0,5080,0.5238929594441054,0.01866264734687595,0.3781919070818389,4.298408962228504
blue,circle,1,5105,0.414263129226617,0.8304946402876182,0.13151094520189244,4.397873687920433
red,circle,0,5132,0.277218685176133,0.18748462651423042,0.39326380124043414,5.388221285544738
purple,square,0,5250,0.8386599118627978,0.6431386518603193,0.6599568630050375,5.640658611696019
red,square,0,5255,0.012503475219730498,0.17427409937482508,0.536474470332281,4.28116623157883
red,triangle,1,5353,0.5720273449472987,0.37095242731772415,0.5260587535784669,4.959913496964567
purple,square,0,5356,0.9996465731736793,0.12117256465756021,0.6561529688463592,4.255321150756324
green,square,0,5470,0.055028621071862016,0.6915161060781153,0.49147467774526704,4.7208465539980855
green,square,0,5474,0.6670405529387,0.5053591509128329,0.49126209783152436,5.923108619120157
yellow,circle,1,5511,0.15002349440510832,0.3519187041707791,0.6022634081227581,4.815072718895654
blue,triangle,1,5585,0.7077536911489641,0.49036941803135947,0.6020556539487175,5.137160032805944
red,square,1,5588,0.8695928610948207,0.4413106210300576,0.526989425543239,4.138772211849639
green,circle,0,5597,0.9508887952015431,0.8514250527869424,0.49511812999518423,5.832692930713734
red,circle,0,5627,0.5914223441741909,0.6302047728760605,0.4093383110513469,5.613869369240507
green,circle,0,5680,0.6349780241056121,0.1391871575477529,0.491816217208502,6.240695426540594
yellow,square,0,5719,0.9726268048453478,0.7609290425260713,0.4677883526425094,2.8702824020609667
yellow,square,1,5765,0.5495746127462745,0.5020842413939993,0.4652783525584822,4.702777730880125
red,triangle,0,5797,0.7164639751521532,0.7040454818650225,0.5336893612529211,7.744562940053119
red,square,0,5818,0.23593117318357937,0.07314400743565841,0.5045049973814437,4.73466139311028
red,circle,0,5850,0.5434581028057989,0.5661627010968945,0.4172475279694751,7.37542918069884
yellow,square,1,5865,0.08039265724079736,0.832766339096367,0.47250864636017365,5.664797525706285
red,circle,1,6051,0.9037819831553698,0.8406752791956175,0.42860730103623285,6.883611448821147
purple,triangle,0,6098,0.048515488628120496,0.13503804313416723,0.6875112402366665,5.951608164047156
blue,triangle,1,6124,0.8209941325124394,0.6975886986098433,0.5944059575518246,7.956611465149808
green,square,0,6226,0.6254139945026417,0.44235631780910023,0.4947154445275026,6.094772664571022
green,circle,0,6238,0.5647657502270278,0.48865785206231616,0.48417050428613967,5.314759345651722
purple,square,1,6409,0.8419644842944525,0.5689558333095702,0.6486389225203539,6.764436221990853
purple,circle,0,6460,0.022866144467924898,0.38374491731395266,0.47488125113633156,5.18381226767042
yellow,square,1,6510,0.46763196111581096,0.2525360057842123,0.4784568397892102,3.418117118705274
red,circle,0,6585,0.1851048293861305,0.23029591768852398,0.44492332341979296,5.760852454918667
red,triangle,0,6593,0.3614334841934277,0.3172875150096478,0.5336359680294116,6.845141572695423
red,square,0,6825,0.10240795530976454,0.3552096156265375,0.47512303248140236,5.145112817985559
blue,square,0,6835,0.8519514847713295,0.19835341879714474,0.3819747805065463,3.8274801035623978
red,square,0,6870,0.42611020600750116,0.7976170927642009,0.4799449965370654,3.1684210630654657
red,square,0,6880,0.9928503382180878,0.9033585772774038,0.4828676064498975,4.977104381535792
red,triangle,0,6890,0.0949997630141427,0.1855579383737852,0.5417557272405064,4.523739327972719
red,triangle,0,6926,0.6979899125004204,0.03378535128967952,0.5452630524923384,5.4886108014086
purple,square,0,7145,0.5205545614820511,0.7006373872685897,0.6432033836710063,5.266945662715147
blue,triangle,0,7169,0.9333855793065959,0.13457317433354077,0.567313117792438,4.227344499078499
red,square,0,7183,0.8540777405760767,0.5566155288943634,0.4727722605809266,4.484527380415446
purple,triangle,0,7221,0.07729695867651976,0.3898344059504826,0.6616033649709776,2.5006537206630988
red,triangle,0,7264,0.23007855704668956,0.41121885598115004,0.5374933633354123,4.625441986207416
blue,square,1,7297,0.22262765045632182,0.9352664855626638,0.3940007578510445,4.367014885428804
red,circle,1,7310,0.05269780281162828,0.0008025650932757603,0.4471177748347405,3.7253777762088505
purple,square,1,7319,0.5390058988052654,0.4941026498784532,0.6302529899909097,6.448810781241274
red,square,0,7350,0.9382780379672069,0.3315803564492994,0.4709422592301563,7.478803874367089
red,circle,0,7351,0.3612888647136956,0.3900985902100856,0.4514271376849851,4.346341112284237
yellow,circle,1,7414,0.32477438439891804,0.8527410497732805,0.578859866256276,5.09184064130106
red,circle,0,7421,0.9892899846124164,1.0002035172577892,0.45576484556727054,6.155587409704622
blue,triangle,0,7435,0.13417769775686017,0.32044326382695676,0.5697875944171061,3.611411935519723
red,triangle,0,7480,0.5096319881899956,0.9169351211522347,0.5402306225183187,4.396004686347562
yellow,square,1,7490,0.5519244132067481,0.9522672266399553,0.48892686507229033,5.2077741227745
green,square,0,7522,0.7695790776074829,0.6493617013300224,0.5062258674295976,6.514182432634747
red,triangle,0,7582,0.6884065489552523,0.9527958546677516,0.5400693011274069,5.124098932996773
red,triangle,0,7600,0.9647269269195229,0.4098615080327179,0.5387660454251227,5.082276353255275
orange,triangle,0,7665,0.32904497195507487,0.23168161807490417,0.8722623057355134,5.164071635714438
red,square,0,7705,0.8050354592729326,0.8800778311059083,0.47775298210709655,3.095180099376346
purple,triangle,0,7848,0.3999861324512596,0.07313403733425006,0.6498648356057545,5.182548842463077
red,circle,0,7867,0.23626927515050655,0.3242669695209879,0.44084393598502025,6.114820791664641
green,triangle,0,7898,0.5200009514905543,0.5374752601982243,0.2354954696805672,5.8992869223326485
blue,square,0,7912,0.5183154789173914,0.7075622119669978,0.3937785908367411,5.611654480869177
blue,square,0,7970,0.11151658334971082,0.6172273249045909,0.3916407637827865,3.8261795880638054
red,triangle,0,8002,0.010600089850044125,0.18086148061836715,0.5481871021051281,6.486983620696889
red,circle,1,8085,0.5276503192339859,0.6039148669161414,0.43904326409278605,6.7603585236707
orange,square,0,8109,0.7768568392153472,0.7415199227211619,0.30004659103299586,6.671697402343637
red,circle,0,8113,0.7040363113735977,0.6176206363095101,0.4359881195527714,5.14085836303596
blue,circle,0,8227,0.972623992029269,0.023971597936596867,0.1673474138772468,5.620708271084801
blue,circle,1,8241,0.6994166196793291,0.7487522475833888,0.1685666005757015,6.039438356676449
blue,circle,1,8342,0.5632676790950631,0.6804706769536457,0.16774706277951218,3.464319925942332
red,square,0,8363,0.4087041744414175,0.8070739084193961,0.4990316692688822,4.852123584076959
blue,triangle,0,8377,0.8049838802477126,0.5857178387398677,0.5707520736614857,4.101240877591373
red,triangle,0,8409,0.3729567091913156,0.6255047250460374,0.5546256899343207,5.7542960199220134
red,circle,1,8448,0.6505984196326361,0.6708260329889433,0.4398215422347821,5.067703862320497
orange,triangle,1,8466,0.16525507437570952,0.38752816874246854,0.8611704617935338,4.531213856608208
blue,square,0,8625,0.9257134507887343,0.5484847437481889,0.41306693393231186,3.7813348129809774
blue,circle,0,8693,0.07736655692516092,0.7094747964905463,0.1793050216454373,6.083634710543372
blue,square,0,8811,0.3157995075758133,0.7834804805765219,0.4088692267189296,5.1672992424980615
red,triangle,0,8895,0.652024124990294,0.08417005612192818,0.5341736009141594,6.259712945790969
red,square,0,8904,0.2390150805932536,0.29510181237732014,0.4927936662914188,6.192807475537431
red,triangle,1,8955,0.635969718915859,0.851056850456277,0.5413944877529929,5.428855112841159
yellow,circle,1,8994,0.6608164196933896,0.36011968370773173,0.5629517068116978,6.35357925019693
red,circle,0,9031,0.7744572161118486,0.6923633451408633,0.45034685773693056,5.010467953363613
red,circle,1,9151,0.21217432304365524,0.2967593161416136,0.4553816455432691,4.659852515579381
blue,triangle,0,9223,0.5636660445656244,0.8716846236127672,0.5625196889904541,4.866601675820479
purple,circle,0,9283,0.24161151059540176,0.5928568671833314,0.4611930047170266,5.136306869359727
red,square,1,9291,0.2815984094528883,0.9101405343282991,0.49915629018606633,4.776941788653463
yellow,circle,1,9350,0.5652799060258915,0.2932807976729944,0.5579466819473858,5.789771169762942
purple,circle,0,9384,0.3165066469353667,0.28941633786079357,0.4604066818976131,5.837141646184505
orange,square,0,9427,0.8079311983747106,0.8685956833908394,0.3116410800256374,4.390864584500387
red,triangle,0,9460,0.15719235042957025,0.831884921837593,0.5442701763072955,5.217201497530535
red,square,0,9464,0.39483640410474385,0.32875398270302847,0.49948833443251855,5.005502977323175
blue,circle,1,9600,0.6921050905721352,0.6372926162748623,0.22598792972014145,6.271379897001558
yellow,square,1,9619,0.8770166356180739,0.4753410604663104,0.4973159198588518,6.153753768811987
red,triangle,0,9698,0.22274687616209066,0.05820766875391936,0.5279811896729458,5.837491222209763
blue,triangle,1,9740,0.9017978821708391,0.7636216486777394,0.5584057144333926,5.37225281233222
red,square,1,9752,0.195954498947297,0.8407712819350194,0.5082386567466489,3.675549873683804
orange,square,0,9789,0.38417441628136606,0.36836651319364344,0.3179537476836239,5.924890299398008
purple,square,0,9792,0.012034648465485631,0.8937509799107239,0.6059859114206745,4.180251632603731
red,square,0,9805,0.7348107158418772,0.8830348086865724,0.5096404025921634,3.4694534736043026
purple,triangle,0,9810,0.3918413244226422,0.32805497520431326,0.6183627898972449,1.6595595062090327
blue,square,1,9820,0.05732382015880355,0.9394672461010009,0.4145573007868255,5.561786594119987
red,square,0,10020,0.010527450646065972,0.287701248250263,0.5045892743275767,3.236713744202779
red,square,0,10195,0.22731984900916336,0.8983570756911684,0.5008712617811221,4.9984232085745495
red,square,0,10247,0.5279313363373115,0.2409604806693607,0.49790560652173327,4.503685217976276
green,square,0,10256,0.794245842750217,0.7402091093823174,0.4970912079728164,4.0373967594623075
purple,circle,0,10273,0.42181769556812987,0.050792107711367884,0.4716000837281641,5.921232462690938
red,triangle,0,10279,0.8078666014729401,0.8869222481916494,0.5014110450061955,7.381193838186551
yellow,square,1,10306,0.5665190122003364,0.7545684264087924,0.494033380654766,3.718731030356641
green,triangle,0,10310,0.17502291082114974,0.10387535544372395,0.28736501114742885,5.42969308340746
blue,square,0,10319,0.3423782355214169,0.8918773539993816,0.41800999797758365,5.967516795513261
orange,square,0,10353,0.8820268190136146,0.9171285154846617,0.31471547686648177,5.78334087255119
yellow,square,1,10376,0.07613514761919937,0.5292282550348139,0.49149695903359814,6.060678779186645
yellow,square,1,10443,0.7733220160378064,0.5368010271323386,0.49340954649249114,5.413943854861395
red,square,1,10459,0.7907662511318669,0.41079315581366094,0.5011753270900353,5.446596187855135
red,triangle,1,10485,0.473341079736037,0.722277726933131,0.5067185834520945,4.882622467240705
orange,square,1,10494,0.6083933210185691,0.07344894561332505,0.3206503384346204,6.085497216074039
yellow,square,1,10511,0.2450713937310044,0.37435737888140386,0.4893801364954174,5.293791266114078
red,triangle,0,10614,0.9178243551654847,0.8813529027220147,0.5037787467721317,2.471433669632065
red,square,0,10619,0.9035972672420634,0.14095059055333659,0.49238746681138607,4.908694594785998
red,circle,0,10636,0.20415702895916688,0.19097359248059662,0.46445760154750326,3.6884724690021478
purple,triangle,0,10863,0.05061974885761933,0.4436866147376577,0.6114885039462646,4.131496827328981
blue,triangle,1,10905,0.7573212805370948,0.859274873940234,0.5524026174591629,4.305043355957215
red,square,0,10920,0.5362996035868647,0.4812487672485227,0.49566643046175485,5.476429549181639
red,triangle,0,10940,0.5413782361674907,0.446823449554417,0.5028345618617849,3.5493003465806687
red,square,0,11050,0.6056101890433508,0.005237433858933049,0.4791373968143102,5.898746077346092
red,triangle,1,11060,0.007668441317185581,0.46783886089685867,0.5068550462951366,2.8819823497202006
red,triangle,0,11095,0.7051291422518633,0.4683361714954013,0.50786078207472,5.064898326542557
red,triangle,0,11104,0.3917063706282701,0.358672920459875,0.5035119725326376,6.046505939663483
blue,triangle,1,11172,0.9046419701146681,0.24662896173218762,0.5468128715558063,5.762357572121442
blue,circle,1,11177,0.6298916188968251,0.5544412686634678,0.24476671639508038,3.4247663322242565
red,square,1,11189,0.4181981748246649,0.7171836376857676,0.48304487521116446,5.131417000911822
yellow,triangle,1,11212,0.706304493304751,0.6313225514654566,0.47487679584787923,3.2852244166106783
green,triangle,0,11231,0.7535899572571703,0.29430202078094647,0.3153175896308371,5.80578311046114
green,triangle,0,11257,0.5021607766323833,0.4436518391465001,0.32157678720951255,4.700097185905772
purple,square,0,11282,0.19342782566837624,0.5784468640751923,0.594075840734447,4.253747745978391
red,triangle,0,11300,0.13652640368197466,0.26322898842374454,0.4985684316788368,6.087846833969415
blue,triangle,0,11313,0.5046089831646238,0.7618432314709886,0.5507671106047716,4.288243327121001
green,triangle,0,11373,0.9080917087139062,0.11801530617669154,0.31761153702179556,4.817233799135541
yellow,circle,1,11562,0.7122310419454759,0.49080032675698926,0.5494842698854607,7.207714292671764
red,square,1,11633,0.0827312970778381,0.5517273827729732,0.48938352588506207,4.803961761077759
purple,triangle,0,11657,0.48216200948294474,0.6053897887850926,0.6146269091327969,1.7550587684513594
green,square,1,11664,0.8712104729844775,0.44649692054762347,0.5075555968045227,6.5094059131819035
blue,circle,0,11863,0.059421255989027144,0.20003870343355956,0.2555347210848312,5.2061566797210865
purple,circle,0,11866,0.9228566617233005,0.4497763107864796,0.4801253916143827,5.695378243720455
red,triangle,0,11893,0.11574963698124985,0.42012103012753677,0.5117799890768516,7.525336843016226
red,square,0,11910,0.7293913901135854,0.19408134570402402,0.4905942534785655,3.2561142488310395
blue,triangle,1,11989,0.042930931898611746,0.28906353164388765,0.5561655237204032,6.041227599000723
red,circle,0,11999,0.2745068723223836,0.3216275508472469,0.4910366611875597,6.366348407756217
blue,square,0,12037,0.7569059264383019,0.6815621977881376,0.41839720783581624,5.599821803991174
blue,circle,0,12078,0.04910154660574528,0.5404958756111141,0.26731849643366473,2.210917527535466
red,square,1,12156,0.38378504852300466,0.11445015005595527,0.49355539228753786,5.146756570128739
red,square,1,12163,0.5414289671593087,0.37429785299101825,0.4981634122502311,4.176700025555928
red,circle,0,12187,0.600093686235087,0.5597042104813567,0.503798582016451,5.632456469655376
yellow,square,1,12290,0.18218611935029128,0.2983612572175376,0.47416831683179905,6.609029907524025
yellow,circle,0,12306,0.867165565736646,0.9025956363358136,0.5523459461012876,3.019338685410745
red,circle,0,12325,0.4721625074822319,0.5400513390350403,0.5078545767976087,4.92582011506819
yellow,square,1,12335,0.09361025430824799,0.6677738551374311,0.47706568665162646,4.939847642538352
red,triangle,0,12350,0.3694207052198244,0.5447722282344535,0.5059100136768411,4.058121653794159
red,square,0,12418,0.055122781482241257,0.8842125911938413,0.5008817538811919,4.217476992659292
blue,triangle,0,12448,0.4834525731042024,0.2615842902696851,0.5501809269547815,4.504208776801217
red,square,1,12545,0.10929196628953552,0.23255874008676836,0.49260009719904424,6.36244069119153
yellow,square,1,12572,0.19316644777126923,0.8196598290451167,0.473664001595597,6.193348662471713
red,square,0,12580,0.9993965134826659,0.3040179595308051,0.48973830078731395,4.653813116671806
red,triangle,0,12595,0.787025573313828,0.15257056485934828,0.5140703781970453,5.3525068526509765
red,square,0,12637,0.20767700100511788,0.6461450152555049,0.49067841457062716,4.783562262794988
red,square,0,12655,0.6665993889100141,0.8103930799527951,0.48807857534214427,5.520916299675705
red,square,0,12696,0.7423471131055149,0.49712551111307623,0.4931271699694902,4.749177198851762
blue,circle,0,12727,0.5982593200568088,0.8652975100402089,0.275852335782209,4.845407519918545
red,square,0,12745,0.856675161091566,0.3114165196831775,0.4975783715234556,6.130189441343838
purple,triangle,0,12751,0.06926972665146325,0.7287032767882019,0.5889125005445655,4.359849328099409
orange,triangle,0,12766,0.9508276473016848,0.289460587769503,0.8373034263773781,6.352831315473359
red,triangle,0,12816,0.0013952880940285572,0.09067846202769703,0.5105621465435575,4.3689078711272495
purple,circle,0,12858,0.6198746737775912,0.6117615279691757,0.48773872964753007,5.367637765862085
red,triangle,0,12868,0.04812975524569185,0.552570125247716,0.5059278213119353,5.238843121110229
blue,circle,0,12960,0.46654625780632264,0.5178845807488622,0.27839243430274463,6.439167354146311
red,circle,0,13000,0.3893482722012248,0.319657811225841,0.5017287040828957,5.166054157250497
blue,triangle,0,13023,0.6133335082909767,0.15706338849664125,0.546382973254671,6.129714467673984
green,circle,0,13067,0.860428112262208,0.08499919357746821,0.4903153702211547,4.6590969040292585
red,triangle,0,13075,0.47228486575544304,0.4120308924743207,0.5075734917977525,4.775638269918454
red,triangle,0,13119,0.7621158578472799,0.631755186715638,0.512276263258318,4.755444596413841
purple,square,0,13175,0.34455376959146433,0.21303267764916645,0.5755372207242745,3.5638766553560086
red,square,1,13206,0.7965505613254553,0.0818371373308433,0.48195315152791485,5.339188550625941
red,circle,0,13257,0.46662794315369327,0.5574202226941675,0.5052439560979188,5.609302980122653
red,square,0,13292,0.8491361399463294,0.4187001806314964,0.47897319519987636,4.8801586640154495
red,triangle,1,13336,0.29579261872209206,0.7019093817439674,0.50766809234967,6.228154313160498
red,circle,1,13345,0.2712619135025529,0.3281769529113354,0.5038320732930575,4.04584386589855
purple,square,0,13350,0.939866358287322,0.16458050042115857,0.5828959125996166,5.5577033688723505
purple,circle,0,13382,0.2824853153170499,0.20800956788434943,0.4947041835530817,5.379239803600743
orange,triangle,0,13405,0.14410249953214505,0.1369398445487081,0.8249877700073767,5.183498721719421
red,triangle,1,13556,0.585818098844941,0.24354525693445694,0.49926327483226424,4.0251751521466606
blue,square,1,13794,0.20431293728239353,0.6307312881241436,0.43724078843695274,4.966823103521364
red,triangle,0,13802,0.466769578208979,0.10669816704947244,0.48928236874997666,4.022452582451303
red,circle,0,13815,0.8540259816077556,0.8057968243570277,0.5156569287403475,4.366267337764332
blue,circle,1,13846,0.26604661865892987,0.784638388252735,0.3015050382678674,7.025971487472547
blue,triangle,1,13895,0.06503788484286777,0.7301736002489201,0.5563078532631365,3.0671895433922582
orange,square,0,13924,0.6720087181027392,0.531597336406085,0.3189520919676537,4.22010568710081
green,square,1,13967,0.6830203826405684,0.15743886622481862,0.5279821971362703,3.8051266229645573
red,square,0,14037,0.02423949916367385,0.8786152407555577,0.48273103815866486,3.809563031581092
green,triangle,0,14053,0.2515594916201451,0.31933380887633367,0.3636603986837392,5.934139909192768
purple,square,1,14115,0.34075820160710024,0.23532145172796826,0.5805775413458969,4.495962024253348
yellow,circle,1,14180,0.4213295413705884,0.35402689626709216,0.5240471070806512,5.6017322680647785
blue,square,1,14187,0.4854078253161348,0.275549753634141,0.4432543288891906,5.022679046204014
blue,circle,1,14496,0.011225865347384345,0.7596278939214351,0.2973899363809186,4.024307044697272
yellow,circle,1,14521,0.060127079283722185,0.07991197701318664,0.5330818382412245,4.650117185226596
red,triangle,0,14567,0.17119817923714076,0.5355228917196253,0.48173555768168314,4.29692961473938
red,square,0,14590,0.5767756211798936,0.053820042841727034,0.46485144533441763,6.035228756502684
